trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.016526669921088782,auc,optseed1,4204,0.5703511684997937,0.6434772102909748,4.9517207229512264e-05,0.016526669921088782,0.06888091111661303,0.0003472394156969547,1654,100,16.54,11,33,15.54,10,32,False,35.43468479195144,35.36241549393162,0.014519047923386097
1,TrialState.COMPLETE,0.016162759472241092,auc,optseed1,4204,0.8937655957729452,0.9206808579879826,6.932409012131716e-05,0.016162759472241092,0.06860361475612775,0.0003656020467112322,1655,100,16.55,10,34,15.55,9,33,False,36.52768052590545,36.46242032106966,0.013068540953099728
2,TrialState.COMPLETE,0.016512565545422183,auc,optseed1,4204,0.9051989466240138,0.6519833080492576,4.9517207229512264e-05,0.016512565545422183,0.06889824213914336,0.00036766526367912854,1642,100,16.42,10,32,15.42,9,31,False,35.182635640958324,35.11749987700023,0.012066859984770417
3,TrialState.COMPLETE,0.016125124087587053,auc,optseed1,4204,0.6753036708481377,0.9757144720539834,7.179995048279278e-05,0.016125124087587053,0.06832631839564249,0.00037839399191218946,1649,100,16.49,10,32,15.49,9,31,False,34.84602770104539,34.780307370005175,0.011787727009505033
4,TrialState.COMPLETE,0.016501570961679608,auc,optseed1,4204,0.8295705526519681,0.9546407956783691,2.9710324337707355e-05,0.016501570961679608,0.06843278039118593,0.0003478583807873236,1611,100,16.11,10,31,15.11,9,30,False,37.03312895295676,36.95294293400366,0.018010979052633047
5,TrialState.COMPLETE,0.01682413064502262,auc,optseed1,4204,0.7590304408057142,0.7174297418844898,3.218618469918297e-05,0.01682413064502262,0.06898984897251795,0.00038726582487414373,1588,100,15.88,10,39,14.88,9,38,False,35.47476656700019,35.397830524947494,0.019226762931793928
6,TrialState.COMPLETE,0.016364099560087192,auc,optseed1,4204,0.9496316070525495,0.9323476238473583,4.208962614508542e-05,0.016364099560087192,0.06860113889576629,0.0003618882561690187,1625,100,16.25,10,34,15.25,9,33,False,35.64921660802793,35.58759414404631,0.011761625995859504
7,TrialState.COMPLETE,0.016713779924415896,auc,optseed1,4204,0.7950648540054415,0.6692463521479427,6.189650903689032e-05,0.016713779924415896,0.06886605595444417,0.0004506065857885615,1607,100,16.07,11,29,15.07,10,28,False,37.01716629799921,36.94666925095953,0.01874282700009644
8,TrialState.COMPLETE,0.016347185357462882,auc,optseed1,4204,0.54665780245505,0.9972081992056128,4.704134686803665e-05,0.016347185357462882,0.06840059420648675,0.0003068003631261864,1625,100,16.25,10,32,15.25,9,31,False,36.69891280098818,36.63607615302317,0.011876708013005555
9,TrialState.COMPLETE,0.016608052589244856,auc,optseed1,4204,0.7604591532689595,0.7160547080600288,1.2379301807378064e-05,0.016608052589244856,0.06895023520673434,0.0003862342163901956,1621,100,16.21,10,39,15.21,9,38,False,36.14592682302464,36.07554927794263,0.012016088934615254
