trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.006845561853056812,auc,optseed1,4203,0.655640445843042,0.7906823676284114,2.6704146170063247e-05,0.006845561853056812,0.030465214335910054,0.00013539470602014523,1357,100,13.57,9,23,12.57,8,22,False,22.849665778921917,22.79268163908273,0.014895992004312575
1,TrialState.COMPLETE,0.006848048538584406,auc,optseed1,4203,0.5207211853008007,0.7851203948193355,2.6704146170063247e-05,0.006848048538584406,0.030566408995080816,0.0001527289763410635,1355,100,13.55,9,26,12.55,8,25,False,22.123721187002957,22.06702029996086,0.01281212898902595
2,TrialState.COMPLETE,0.006448549784047273,auc,optseed1,4203,0.7066088247786135,0.9383746490905214,2.3893183415319746e-05,0.006448549784047273,0.030378074490513,0.00011571796673694073,1478,100,14.78,10,24,13.78,9,23,False,22.818520458065905,22.755235404940322,0.01963128801435232
3,TrialState.COMPLETE,0.007114768711578915,auc,optseed1,4203,0.9488783149972647,0.5249230920592722,3.3731553056921995e-05,0.007114768711578915,0.03077301475755446,0.00019395643007730147,1342,100,13.42,9,28,12.42,8,27,False,20.968954337993637,20.903269866947085,0.01946286507882178
4,TrialState.COMPLETE,0.006575962510098683,auc,optseed1,4203,0.5735450095046135,0.8134472604456857,3.092059030217849e-05,0.006575962510098683,0.030411806043569925,0.00012590770672288591,1429,100,14.29,10,32,13.29,9,31,False,21.542234560009092,21.486779118073173,0.01913725200574845
5,TrialState.COMPLETE,0.00657537687528943,auc,optseed1,4203,0.8899437861035465,0.8406580738388456,2.8109627547434995e-05,0.00657537687528943,0.03036683063949403,0.0001396111501522605,1396,100,13.96,9,25,12.96,8,24,False,22.308989414945245,22.242408492951654,0.022035664995200932
6,TrialState.COMPLETE,0.006352737883423231,auc,optseed1,4203,0.6812762350125556,0.9570946716533871,2.9515108924806747e-05,0.006352737883423231,0.030327477160927617,0.00011384399156711173,1465,100,14.65,10,24,13.65,9,23,False,21.10229312197771,21.047701749950647,0.011903977952897549
7,TrialState.COMPLETE,0.006214270786942319,auc,optseed1,4203,0.9348749770850073,0.9528349910031864,1.6865776528460998e-05,0.006214270786942319,0.030258608573436402,9.416725228390723e-05,1480,100,14.8,10,29,13.8,9,28,False,21.76746031001676,21.705572822946124,0.0190696909558028
8,TrialState.COMPLETE,0.006769033288982531,auc,optseed1,4203,0.5381573185915873,0.7341306299401323,3.513703443429375e-05,0.006769033288982531,0.030570625439212927,0.000146170063246662,1346,100,13.46,9,24,12.46,8,23,False,22.042004941031337,21.980351256090216,0.017647485015913844
9,TrialState.COMPLETE,0.0068219329456516665,auc,optseed1,4203,0.6920812948233905,0.7738890611180552,2.9515108924806747e-05,0.0068219329456516665,0.030480674631061144,0.00015788240805809323,1360,100,13.6,9,23,12.6,8,22,False,22.531696964986622,22.477838271064684,0.011855378048494458
